127.0.0.1 - - [19/Oct/2018:16:57:15 +0800] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [19/Oct/2018:16:57:17 +0800] "GET /Goods/index.jsp HTTP/1.1" 200 14284
0:0:0:0:0:0:0:1 - - [19/Oct/2018:16:57:17 +0800] "GET /Goods/js/jquery-3.3.1.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [19/Oct/2018:16:57:17 +0800] "GET /Goods/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [19/Oct/2018:16:57:17 +0800] "GET /Goods/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [19/Oct/2018:16:57:17 +0800] "GET /Goods/css/index-css.css HTTP/1.1" 200 1176
0:0:0:0:0:0:0:1 - - [19/Oct/2018:16:57:17 +0800] "GET /Goods/src/LOGO32.ico HTTP/1.1" 200 3262
0:0:0:0:0:0:0:1 - - [19/Oct/2018:16:57:17 +0800] "GET /Goods/src/Logo.png HTTP/1.1" 200 23703
0:0:0:0:0:0:0:1 - - [19/Oct/2018:16:57:17 +0800] "GET /Goods/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 200 20127
0:0:0:0:0:0:0:1 - - [19/Oct/2018:16:57:42 +0800] "GET /Goods/index.jsp HTTP/1.1" 200 14284
0:0:0:0:0:0:0:1 - - [19/Oct/2018:16:57:42 +0800] "GET /Goods/css/index-css.css HTTP/1.1" 200 1176
0:0:0:0:0:0:0:1 - - [19/Oct/2018:16:57:42 +0800] "GET /Goods/src/LOGO32.ico HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2018:16:57:42 +0800] "GET /Goods/src/Logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2018:16:57:42 +0800] "GET /favicon.ico HTTP/1.1" 404 1085
