127.0.0.1 - - [30/Nov/2018:10:22:54 +0800] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [30/Nov/2018:10:22:55 +0800] "GET /Goods/index.jsp HTTP/1.1" 200 9470
0:0:0:0:0:0:0:1 - - [30/Nov/2018:10:22:55 +0800] "GET /Goods/js/jquery-3.3.1.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [30/Nov/2018:10:22:55 +0800] "GET /Goods/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [30/Nov/2018:10:22:55 +0800] "GET /Goods/css/jSlider.css HTTP/1.1" 200 5369
0:0:0:0:0:0:0:1 - - [30/Nov/2018:10:22:55 +0800] "GET /Goods/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [30/Nov/2018:10:22:55 +0800] "GET /Goods/css/index-css.css HTTP/1.1" 200 1398
0:0:0:0:0:0:0:1 - - [30/Nov/2018:10:22:55 +0800] "GET /Goods/js/jquery.jSlider.js HTTP/1.1" 200 22427
0:0:0:0:0:0:0:1 - - [30/Nov/2018:10:22:55 +0800] "GET /Goods/js/nav.js HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [30/Nov/2018:10:22:55 +0800] "GET /Goods/js/news.js HTTP/1.1" 200 5532
0:0:0:0:0:0:0:1 - - [30/Nov/2018:10:22:55 +0800] "GET /Goods/js/main.js HTTP/1.1" 200 6311
0:0:0:0:0:0:0:1 - - [30/Nov/2018:10:22:55 +0800] "GET /Goods/images/photo1.jpg HTTP/1.1" 200 118264
0:0:0:0:0:0:0:1 - - [30/Nov/2018:10:22:55 +0800] "GET /Goods/images/photo2.jpg HTTP/1.1" 200 32664
0:0:0:0:0:0:0:1 - - [30/Nov/2018:10:22:55 +0800] "GET /Goods/images/photo3.jpg HTTP/1.1" 200 40606
0:0:0:0:0:0:0:1 - - [30/Nov/2018:10:22:55 +0800] "GET /Goods/images/photo5.jpg HTTP/1.1" 200 308378
0:0:0:0:0:0:0:1 - - [30/Nov/2018:10:22:55 +0800] "GET /Goods/images/photo4.jpg HTTP/1.1" 200 419904
0:0:0:0:0:0:0:1 - - [30/Nov/2018:10:22:55 +0800] "GET /Goods/src/Logo.png HTTP/1.1" 200 23703
0:0:0:0:0:0:0:1 - - [30/Nov/2018:10:23:14 +0800] "GET /Goods/index.jsp HTTP/1.1" 200 9470
0:0:0:0:0:0:0:1 - - [30/Nov/2018:10:23:14 +0800] "GET /Goods/js/jquery-3.3.1.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [30/Nov/2018:10:23:14 +0800] "GET /Goods/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [30/Nov/2018:10:23:14 +0800] "GET /Goods/js/jquery.jSlider.js HTTP/1.1" 200 22427
0:0:0:0:0:0:0:1 - - [30/Nov/2018:10:23:14 +0800] "GET /Goods/css/jSlider.css HTTP/1.1" 200 5369
